nextMktCl,RP_ESS_MEAN,News_volumn,News_buzz
2005-01-21 16:00:00,0.43999999999999995,6,0.1662067345356505
2005-01-22 16:00:00,0.23,2,-0.5215452704394549
2005-01-25 16:00:00,0.29333333333333333,6,0.13869804467027133
2005-01-26 16:00:00,,2,-0.5159005550413942
2005-01-27 16:00:00,0.52,4,-0.1455854112494123
2005-01-28 16:00:00,0.41,2,-0.4949903982480019
2005-01-29 16:00:00,,1,-0.6542016841233436
2005-02-01 16:00:00,0.0,4,-0.11059836278237048
2005-02-02 16:00:00,0.47,2,-0.4598563505161718
2005-02-03 16:00:00,0.16876712328767132,115,5.0930532500772125
2005-02-04 16:00:00,-0.27699999999999997,22,0.6272140566092952
2005-02-08 16:00:00,-0.51,4,-0.2292893453863958
2005-02-09 16:00:00,0.43333333333333335,7,-0.09178806502162459
2005-02-10 16:00:00,-0.48,4,-0.23932755743822628
2005-02-11 16:00:00,-0.49,1,-0.3819731214742552
2005-02-12 16:00:00,0.25,2,-0.3292477731433938
2005-02-15 16:00:00,0.49,5,-0.18678479437942536
2005-02-16 16:00:00,-0.49,2,-0.3310225192429437
2005-02-17 16:00:00,-0.16,4,-0.19698387750504337
2005-02-18 16:00:00,-0.49,1,-0.3287592802421842
2005-02-19 16:00:00,,1,-0.32351415535245037
2005-02-22 16:00:00,0.0,5,-0.11760365767103549
2005-02-23 16:00:00,0.52,1,-0.30077455454031554
2005-02-25 16:00:00,-0.485,2,-0.2525219522076446
2005-03-01 16:00:00,-0.324,9,0.074064369298398
2005-03-02 16:00:00,0.52,3,-0.21916696521790047
2005-03-03 16:00:00,0.0,2,-0.26409807639816946
2005-03-04 16:00:00,-0.57,2,-0.26583647169909386
2005-03-10 16:00:00,,1,-0.31417037564438366
2005-03-11 16:00:00,0.46,12,0.20302447720416114
2005-03-12 16:00:00,0.276,5,-0.13371374776295814
2005-03-15 16:00:00,0.46,6,-0.0919411336621041
2005-03-17 16:00:00,0.49,1,-0.325260122368603
2005-03-18 16:00:00,0.5,1,-0.3234881489732582
2005-03-19 16:00:00,-0.51,1,-0.31826494953095646
2005-03-22 16:00:00,,2,-0.27004298748081157
2005-03-24 16:00:00,,1,-0.31826494953095646
2005-03-29 16:00:00,,1,-0.31306267585152764
2005-03-30 16:00:00,,1,-0.31130826685891366
2005-03-31 16:00:00,,2,-0.3888440707374184
2005-04-01 16:00:00,,3,-0.024900915468932982
2005-04-02 16:00:00,,1,-0.7291599985399655
2005-04-05 16:00:00,0.28,18,3.8693324144267347
2005-04-06 16:00:00,0.1,7,0.9269308982874837
2005-04-07 16:00:00,-0.49,2,-0.38291083043381374
2005-04-08 16:00:00,,1,-0.6323921081774421
2005-04-12 16:00:00,,2,-0.34679903362790243
2005-04-13 16:00:00,-0.48,4,0.15632722810563476
2005-04-15 16:00:00,,1,-0.5957090764158858
2005-04-16 16:00:00,0.0,1,-0.5957090764158858
2005-04-19 16:00:00,0.472,7,0.8990577800801481
2005-04-20 16:00:00,,1,-0.6055507824030794
2005-04-21 16:00:00,0.505,2,-0.3597459131666037
2005-04-22 16:00:00,,3,-0.11158305718164085
2005-04-23 16:00:00,0.5,1,-0.5761173033594159
2005-04-26 16:00:00,0.5,11,1.880821062146114
2005-04-27 16:00:00,-0.07576271186440678,84,5.107668453259332
2005-04-28 16:00:00,0.14999999999999997,17,0.6734961063052506
2005-04-29 16:00:00,0.46,2,-0.3065649562251232
2005-04-30 16:00:00,-0.51,1,-0.3478657714507498
2005-05-03 16:00:00,,2,-0.27578084805529934
2005-05-04 16:00:00,0.0,5,-0.07816590124397049
2005-05-05 16:00:00,-0.49,1,-0.3387189053905388
2005-05-06 16:00:00,-0.24,6,-0.023932805835734334
2005-05-10 16:00:00,-0.48,7,0.028345923151521447
2005-05-11 16:00:00,-0.51,1,-0.3616862321843837
2005-05-13 16:00:00,,2,-0.2987224209044951
2005-05-14 16:00:00,0.0,1,-0.36413608971569833
2005-05-18 16:00:00,,2,-0.3011288216138163
2005-05-19 16:00:00,,1,-0.36413608971569833
2005-05-20 16:00:00,0.245,3,-0.23330875209329174
2005-05-21 16:00:00,-0.49,2,-0.3011288216138163
2005-05-24 16:00:00,0.39,5,-0.07713519817483462
2005-05-25 16:00:00,,1,-0.3277635027404516
2005-05-26 16:00:00,-0.48666666666666664,4,-0.13430612802582043
2005-06-02 16:00:00,,1,-0.3324627103589981
2005-06-03 16:00:00,-0.49,3,-0.20266833159849537
2005-06-04 16:00:00,-0.48,2,-0.26410879880597476
2005-06-07 16:00:00,,4,-0.13887964705671527
2005-06-09 16:00:00,0.01,2,-0.27354093737961427
2005-06-11 16:00:00,,1,-0.3258844572133312
2005-06-14 16:00:00,0.0,2,-0.2622043469720178
2005-06-15 16:00:00,0.51,2,-0.2622043469720178
2005-06-16 16:00:00,,1,-0.3235162569331062
2005-06-17 16:00:00,0.5,2,-0.25986590179279245
2005-06-21 16:00:00,-0.48,2,-0.24027900219833842
2005-06-25 16:00:00,0.5,1,-0.5991730708747874
2005-06-28 16:00:00,,3,0.3725986946220404
2005-06-29 16:00:00,,1,-0.838900130297227
2005-06-30 16:00:00,,3,0.3515094554106804
